CaseID,concern_bomb,concern_cyber,severity_bomb,severity_cyber,publicKnow_bomb,publicKnow_cyber,expertKnow_bomb,expertKnow_cyber,cas_bomb,cas_cyber,likely_bomb,likely_cyber,risk_bomb,risk_cyber,DOV_XPARTY7,DOV_IDEO,DOV_REL2,PPAGE,ppagect4,PPEDUCAT,PPETHM,PPGENDER,PPINCIMP,PPREG4,ppreg9,PPNET,KnowGen,Pol_econ,Pol_survMusl,Pol_force,Pol_screenUS,Pol_screenForg,Pol_immig,Pol_refugME,Pol_trackPh,issue_econ,issue_immig,issue_debt,issue_energy,issue_health,issue_climate,issue_terror,issue_envi,issue_ineq,issue_women,inform_papers,inform_Fox,inform_CNN,inform_MSNBC,inform_network,inform_online,inform_radio,inform_socialMedia,safetyGen,Fear_self,Fear_family,Fear_friend
894,2,2,2,4,3,2,3,1,2,5,2,1,3,2,7,2,4,67,4,4,1,1,15,2,3,1,3,2,1,1,3,2,1,1,2,2,1,2,4,3,4,2,4,4,4,2,1,2,2,4,4,2,2,1,1,1,1
895,2,3,3,4,2,1,2,1,3,5,2,2,3,3,4,6,6,58,3,2,1,0,4,4,8,0,2,1,3,3,5,5,3,5,2,2,3,4,2,2,3,3,3,3,3,2,4,1,1,4,1,1,1,2,1,2,2
896,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,2,32,2,2,2,0,14,3,5,0,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1
897,2,2,3,3,2,2,2,2,4,4,2,2,3,3,3,4,6,29,1,2,1,0,12,3,7,1,2,2,2,3,5,5,5,5,3,2,3,3,2,2,3,3,2,2,3,1,2,2,1,2,2,2,2,2,2,2,2
898,2,2,2,3,3,3,2,2,3,4,,2,3,3,3,5,3,22,1,3,1,1,13,2,3,1,2,3,3,2,5,5,5,5,5,3,4,4,4,4,4,4,4,4,4,1,2,1,1,2,1,1,2,3,2,2,2
899,3,3,3,3,1,1,1,1,4,4,3,3,3,3,5,4,5,52,3,1,1,1,8,2,4,1,2,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,1,3,3,3,2,2,1,2,3
900,3,3,3,4,2,4,2,2,3,5,3,2,3,4,6,4,2,66,4,1,1,0,4,2,4,0,1,3,2,2,3,5,4,4,4,3,3,3,3,4,3,3,3,3,2,1,4,1,2,4,2,1,2,4,2,2,2
901,2,2,4,4,2,2,1,1,4,5,3,3,4,4,1,4,5,64,4,2,1,1,9,1,1,1,1,2,2,2,2,5,5,4,4,3,3,4,2,4,2,3,2,3,3,1,1,1,1,2,1,1,1,2,2,2,2
902,4,4,4,4,4,4,4,4,5,5,4,4,5,5,1,5,6,57,3,2,4,1,3,1,2,0,3,2,3,2,5,5,5,5,4,3,4,2,3,2,3,4,3,2,1,4,2,1,1,4,1,1,1,4,4,4,4
904,1,1,3,3,1,1,2,2,4,5,2,2,4,4,6,3,5,30,2,4,2,0,13,4,9,1,1,2,2,2,5,5,3,3,5,2,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1
905,2,2,2,3,2,2,2,2,2,2,2,3,4,2,6,3,6,23,1,3,1,1,7,3,7,1,,3,3,3,2,3,4,4,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2
906,2,3,3,4,2,1,2,2,3,5,3,3,3,3,6,4,5,75,4,3,5,0,14,4,9,1,3,3,2,3,3,4,2,2,3,2,3,4,3,4,3,4,3,2,3,4,1,1,1,4,2,3,1,3,2,2,2
907,2,1,3,3,3,1,2,1,3,4,2,1,,,7,2,2,73,4,4,1,1,11,1,2,1,2,3,3,1,3,5,1,1,4,3,3,3,2,4,3,3,3,4,3,2,1,3,2,2,1,1,1,2,1,1,2
908,2,2,3,3,3,2,2,3,2,3,1,1,2,2,2,5,4,30,2,3,1,1,16,2,3,1,2,2,2,3,2,2,4,4,5,3,3,2,2,3,3,2,3,2,2,1,1,1,1,3,2,3,2,2,2,2,2
909,2,3,3,3,3,3,3,3,4,4,3,3,4,4,1,6,5,42,2,2,1,0,16,2,3,1,2,3,3,3,4,4,4,4,4,3,2,3,2,3,2,3,2,2,2,1,1,1,1,2,2,2,3,3,2,2,2
910,4,3,3,4,2,1,2,1,2,5,2,2,3,5,3,5,2,40,2,4,1,0,19,2,3,1,3,2,3,3,4,4,2,4,5,4,2,3,3,4,1,3,1,4,2,1,3,2,1,2,1,1,2,2,1,1,1
